,rexp_cat092,annual_use_value
5099,0.0,29.414840109969163
6143,0.0,29.387474639534002
4786,0.0,29.378352816055617
5135,0.0,29.314223632813633
8385,0.0,29.20448533217971
8043,0.0,29.18264823961024
9940,0.0,28.88853853715561
5461,2642.156,28.878863875890655
176,0.0,28.869189214625703
3137,0.0,28.853709756601774
8125,0.0,28.84983989209579
4750,0.0,28.716329566639413
2143,0.0,28.644737073278748
4631,0.0,28.559600054147143
6839,0.0,28.513161680075356
1283,0.0,28.513161680075356
6618,0.0,28.482202764027498
3136,0.0,28.45704864473862
6649,0.0,28.457048644738617
6785,0.0,28.269360216198493
8267,0.0,28.13391495848912
2579,0.0,28.05651766836948
8945,0.0,28.01394915880368
5344,0.0,27.89785322362422
8189,0.0,27.892048426865248
3125,0.0,27.712099727337083
2868,0.0,27.694685337060164
9963,0.0,27.561175011603787
2974,0.0,27.476037992472186
1692,0.0,27.45281880543629
352,0.0,27.417990024882453
1166,0.0,27.350267396027764
8407,0.0,27.328983141244866
809,0.0,27.224496799583353
7452,0.0,27.21675707057139
688,0.0,27.185798154523532
9623,0.0,27.133554983692775
876,0.0,27.097344108672516
1502,0.0,27.096791270885948
5693,0.0,27.050352896814164
2267,0.0,27.02713370977827
6477,0.0,27.00971931950135
7103,0.0,26.87233912953899
6848,2197.5903,26.837510348985155
9725,0.0,26.828941363293335
1313,0.0,26.740763736335605
5368,0.0,26.62079793665016
8230,0.0,26.611123275385207
755,0.0,26.58016435933735
313,0.0,26.576294494831366
7115,0.0,26.535660917518555
1397,0.0,26.508571865976684
6896,0.0,26.413760185580124
2349,0.0,26.38473620178526
3870,0.0,26.330558098701516
8320,0.0,26.28605465688272
8172,0.0,26.211808542146517
4961,0.0,26.140934737908395
1094,0.0,26.1177155508725
38,0.0,26.082886770318662
5290,1373.494,25.9358009601753
6769,0.0,25.924222325573403
3059,0.0,25.916482596561437
2571,0.0,25.889393545019562
8881,0.0,25.889393545019562
7869,0.0,25.862304493477687
6518,0.0,25.84295517094778
3045,0.0,25.80425652588796
3168,0.0,25.796516796875995
6387,0.0,25.796516796875995
4423,0.0,25.655266742407655
1112,0.0,25.633982487624753
7032,0.0,25.62817769086578
7929,1063.2039,25.521756416951273
511,0.0,25.463708449361544
8259,0.0,25.368896768964987
3363,0.0,25.36303779410293
6476,0.0,25.351482378688065
580,0.0,25.30504400461628
5768,0.0,25.26054056279749
8187,0.0,25.254735766038518
4525,0.0,25.16959874690691
8154,0.0,25.16959874690691
8285,0.0,25.09026652453428
653,0.0,25.04963294722147
5109,0.0,25.018674031173614
2962,0.0,24.979975386113793
9482,0.0,24.960626063583884
4766,0.0,24.960626063583884
9827,11885.225,24.941276741053976
7089,0.0,24.898708231488172
7383,0.0,24.883228773464246
162,0.0,24.867749315440317
8838,0.0,24.860009586428355
764,0.0,24.85420478966938
4265,0.0,24.759393109272818
3207,0.0,24.631687580575413
8824,0.0,24.58331427425064
7329,0.0,24.56589988397372
6196,0.0,24.554290290455775
854,0.0,24.550420425949795
9211,0.0,24.534940967925866
9530,0.0,24.51172178088997
1947,0.0,24.48076286484212
4374,0.0,24.438194355276316
5956,0.0,24.41691010049341
3991,0.0,24.403365574722475
4613,0.0,24.395625845710512
4143,0.0,24.279529910531053
2342,0.0,24.17504356886954
9615,880.1738,24.167303839857578
2368,0.0,24.018314056377264
2008,0.0,23.991225004835393
2862,0.0,23.98155034357044
4106,0.0,23.935111969498656
54,0.0,23.88867359542687
8498,0.0,23.88673866317388
9120,0.0,23.875129069655934
6614,0.0,23.722269421669647
7538,0.0,23.71259476040469
8889,0.0,23.613913215502148
4998,0.0,23.432029583720997
8099,0.0,23.385591209649213
7923,0.0,23.335282971071447
1820,0.0,23.292714461505643
3795,0.0,23.219187035891984
5844,0.0,23.219187035891984
1267,0.0,23.195967848856093
403,0.0,23.165008932808234
2359,0.0,23.061904685613147
3586,0.0,23.025693810592884
2272,0.0,23.014360635968224
3818,0.0,23.002474623556996
8750,0.0,22.994734894545033
2247,0.0,22.956036249485212
8513,0.0,22.948296520473246
4819,2722.578,22.946361588220256
9227,0.0,22.88250882387155
2808,0.0,22.754803295174145
9208,0.0,22.704495056596382
5206,0.0,22.68127586956049
1608,0.0,22.638707359994687
5075,0.0,22.60000871493487
7851,0.0,22.593927499282607
3139,0.0,22.56904979888701
7003,0.0,22.541960747345136
9083,0.0,22.501327170032326
9129,0.0,22.4148080564343
2211,0.0,22.39684082837081
5240,0.0,22.3136387414922
1560,0.0,22.249785977143496
2751,0.0,22.22076199334863
539,0.0,22.19754280631274
8694,0.0,22.193672941806756
1602,0.0,22.1839982805418
9849,0.0,22.137559906470017
4718,0.0,22.06596741310935
8760,0.0,22.06403248085636
5778,0.0,22.058227684097385
4135,0.0,22.023398903543548
5865,0.0,21.93052215539998
4268,0.0,21.89071783476702
644,0.0,21.748638523618826
3236,0.0,21.709939878559005
5919,0.0,21.555145298319726
4352,0.0,21.547405569307763
2165,0.0,21.54353570480178
137,0.0,21.535795975789817
9830,0.0,21.528056246777854
2840,0.0,21.52225145001888
6826,0.0,21.51644665325991
9808,0.0,21.48852834503818
8583,0.0,21.458398685670176
4108,0.0,21.384871260056517
1966,0.0,21.377131531044554
6255,0.0,21.26877532487706
3745,0.0,21.26490546037108
9678,0.0,21.2378164088292
